iter	CrossEntropy
0	0.688294348
1	0.6835750667
2	0.6796438336
3	0.674755226
4	0.671103191
5	0.6674818109
6	0.6640633808
7	0.6609787636
8	0.6582921324
9	0.6554044599
10	0.6529744059
11	0.6505910474
12	0.6479016325
13	0.6459329493
14	0.6434681629
15	0.6414867752
16	0.6397450974
17	0.6363252703
18	0.6341909654
19	0.6322629251
20	0.6309931198
21	0.6292665433
22	0.6275355539
23	0.6250512071
24	0.6239104912
25	0.6226045571
26	0.6217383528
27	0.6200543263
28	0.6187540871
29	0.6164729842
30	0.6147344466
31	0.6141229135
32	0.612899066
33	0.6111006243
34	0.6105684182
35	0.6073584941
36	0.6061368345
37	0.6045978077
38	0.6040838825
39	0.6022027711
40	0.6018675638
41	0.6004542244
42	0.6000506855
43	0.5997736825
44	0.5995099151
45	0.5986794302
46	0.5977277824
47	0.5972169656
48	0.5969448593
49	0.5967381877
50	0.5957943431
51	0.5955143506
52	0.5940538929
53	0.5939083662
54	0.5937502163
55	0.591718786
56	0.5915475097
57	0.5906017021
58	0.590421785
59	0.5897810939
60	0.589689527
61	0.5896034238
62	0.5889933932
63	0.5872116119
64	0.5871373714
65	0.5869134989
66	0.5864754559
67	0.5863735163
68	0.5859742758
69	0.5859232173
70	0.585875198
71	0.5854070825
72	0.5852920621
73	0.5850505348
74	0.5850134619
75	0.5848429608
76	0.5828094714
77	0.5826240606
78	0.5825936966
79	0.5825142441
80	0.5824057959
81	0.5823541038
82	0.5819501057
83	0.5817504492
84	0.5816344965
85	0.5813875452
86	0.580282793
87	0.5800657833
88	0.5800513168
89	0.5800007919
90	0.5785960137
91	0.5785851492
92	0.5785749289
93	0.5781431661
94	0.5781342782
95	0.5760173403
96	0.5749467666
97	0.5748019844
98	0.5747953397
99	0.5744260756
100	0.5739518237
101	0.571942683
102	0.5719169744
103	0.5717873348
104	0.5714624989
105	0.5713809162
106	0.5703554539
107	0.5696496289
108	0.5695099528
109	0.5690515682
110	0.5685914959
111	0.568516451
112	0.5685130722
113	0.568153575
114	0.5680888143
115	0.5678796336
116	0.567436186
117	0.5666323069
118	0.5661560513
119	0.5646492902
120	0.5646451668
121	0.564580484
122	0.5645255167
123	0.5640076922
124	0.5639594856
125	0.563126076
126	0.5630877134
127	0.5630666303
128	0.5627881132
129	0.5627876952
130	0.5625314095
131	0.5622651465
132	0.5620713211
133	0.5607038016
134	0.560703584
135	0.5605975404
136	0.5605973513
137	0.5602885631
