iter	Passed	Remaining
0	3	3659
1	6	3465
2	10	3426
3	15	3793
4	18	3722
5	22	3771
6	27	3959
7	32	4050
8	35	3914
9	39	3875
10	42	3863
11	46	3824
12	50	3862
13	54	3815
14	58	3818
15	72	4452
16	75	4348
17	100	5496
18	104	5375
19	112	5519
20	115	5395
21	124	5521
22	127	5412
23	140	5729
24	143	5602
25	147	5508
26	150	5409
27	156	5421
28	162	5447
29	167	5424
30	216	6781
31	220	6670
32	233	6834
33	248	7069
34	251	6946
35	305	8184
36	309	8061
37	318	8058
38	321	7926
39	325	7816
40	328	7691
41	338	7721
42	341	7605
43	344	7492
44	348	7389
45	352	7317
46	356	7219
47	362	7181
48	366	7109
49	370	7032
50	374	6965
51	377	6884
52	383	6847
53	386	6774
54	390	6710
55	439	7416
56	443	7332
57	447	7267
58	451	7193
59	454	7123
60	457	7043
61	460	6965
62	471	7009
63	520	7615
64	524	7547
65	528	7473
66	532	7411
67	535	7341
68	544	7340
69	547	7272
70	550	7203
71	553	7137
72	557	7076
73	561	7025
74	564	6960
75	568	6905
76	613	7355
77	618	7305
78	621	7248
79	625	7189
80	628	7131
81	631	7073
82	635	7022
83	639	6978
84	643	6927
85	647	6883
86	698	7335
87	703	7288
88	705	7226
89	709	7170
90	713	7131
91	716	7075
92	720	7022
93	723	6976
94	727	6925
95	779	7339
96	784	7303
97	787	7250
98	790	7197
99	793	7144
100	797	7095
101	885	7800
102	889	7744
103	895	7710
104	898	7659
105	902	7609
106	952	7953
107	1002	8276
108	1005	8219
109	1009	8167
110	1013	8116
111	1017	8065
112	1020	8011
113	1029	7999
114	1033	7951
115	1037	7906
116	1043	7875
117	1047	7829
118	1056	7819
119	1105	8103
120	1108	8051
121	1111	7999
122	1114	7948
123	1140	8056
124	1143	8003
125	1189	8248
126	1192	8197
127	1195	8142
128	1200	8103
129	1203	8052
130	1215	8064
131	1229	8084
132	1232	8034
133	1353	8748
134	1356	8690
135	1359	8639
136	1362	8583
137	1368	8548
138	1383	8566
139	1385	8512
140	1399	8528
141	1402	8474
142	1407	8433
143	1414	8406
144	1417	8361
145	1422	8318
146	1426	8275
147	1430	8232
148	1443	8245
149	1456	8251
150	1458	8202
151	1484	8284
152	1489	8244
153	1493	8206
154	1497	8162
155	1505	8146
156	1508	8100
157	1512	8060
158	1564	8275
159	1569	8237
160	1571	8191
161	1574	8146
162	1620	8322
163	1623	8277
164	1626	8232
165	1629	8187
166	1633	8147
167	1663	8236
168	1666	8192
169	1669	8152
170	1673	8110
171	1676	8070
172	1680	8031
173	1684	7996
174	1735	8181
175	1739	8143
176	1742	8103
177	1746	8065
178	1750	8028
179	1755	7995
180	1760	7965
181	1763	7925
182	1767	7888
183	1773	7863
184	1775	7822
185	1810	7924
186	1816	7897
187	1819	7858
188	1822	7821
189	1827	7789
190	1830	7753
191	1834	7718
192	1838	7686
193	1844	7664
194	1847	7628
195	1863	7642
196	1865	7604
197	1869	7574
198	1873	7542
199	1876	7506
200	1879	7473
201	1883	7440
202	1888	7413
203	1896	7399
204	1909	7403
205	1911	7367
206	1916	7340
207	1967	7490
208	1970	7457
209	1973	7424
210	1977	7393
211	1981	7363
212	1985	7334
213	2031	7460
214	2035	7432
215	2039	7401
216	2042	7369
217	2045	7336
218	2048	7304
219	2054	7283
220	2057	7252
221	2066	7241
222	2069	7212
223	2073	7182
224	2076	7151
225	2126	7283
226	2248	7656
227	2347	7947
228	2350	7914
229	2354	7883
230	2404	8004
231	2453	8122
232	2457	8089
233	2460	8053
234	2463	8018
235	2469	7993
236	2472	7958
237	2475	7925
238	2479	7893
239	2487	7876
240	2490	7842
241	2493	7811
242	2497	7779
243	2501	7750
244	2504	7718
245	2508	7688
246	2511	7655
247	2525	7659
248	2529	7630
249	2536	7608
250	2539	7578
251	2543	7549
252	2546	7520
253	2549	7489
254	2553	7460
255	2556	7429
256	2574	7442
257	2577	7411
258	2580	7383
259	2583	7353
260	2587	7325
261	2590	7297
262	2594	7270
263	2597	7241
264	2601	7214
265	2604	7186
266	2608	7159
267	2611	7132
268	2615	7106
269	2629	7109
270	2632	7081
271	2637	7058
272	2641	7033
273	2643	7005
274	2646	6978
275	2650	6953
276	2654	6927
277	2657	6901
278	2660	6874
279	2664	6852
280	2668	6828
281	2672	6803
282	2720	6892
283	2723	6865
284	2727	6841
285	2732	6822
286	2736	6797
287	2740	6775
288	2744	6751
289	2793	6838
290	2807	6840
291	2810	6813
292	2861	6903
293	2864	6878
294	2909	6953
295	2912	6927
296	2916	6902
297	2919	6877
298	2923	6853
299	2926	6828
300	2929	6802
301	2932	6778
302	2936	6755
303	2940	6732
304	2944	6708
305	2947	6684
306	2951	6661
307	2954	6637
308	2957	6613
309	2960	6588
310	2964	6567
311	2967	6543
312	2970	6520
313	2973	6496
314	2976	6473
315	3029	6556
316	3032	6533
317	3036	6511
318	3039	6488
319	3043	6467
320	3068	6491
321	3072	6469
322	3075	6447
323	3126	6523
324	3130	6502
325	3157	6527
326	3159	6503
327	3162	6479
328	3165	6456
329	3169	6434
330	3172	6412
331	3175	6389
332	3178	6366
333	3181	6344
334	3185	6323
335	3191	6307
336	3241	6376
337	3244	6355
338	3277	6389
339	3280	6368
340	3283	6346
341	3289	6329
342	3292	6307
343	3297	6287
344	3305	6276
345	3309	6255
346	3312	6234
347	3318	6217
348	3322	6196
349	3326	6177
350	3329	6156
351	3333	6137
352	3337	6117
353	3341	6097
354	3397	6172
355	3401	6152
356	3430	6179
357	3434	6159
358	3438	6139
359	3441	6118
360	3444	6096
361	3447	6075
362	3461	6074
363	3464	6053
364	3469	6035
365	3472	6015
366	3476	5995
367	3484	5984
368	3487	5963
369	3502	5962
370	3504	5942
371	3508	5922
372	3511	5903
373	3519	5890
374	3523	5872
375	3527	5853
376	3531	5835
377	3533	5814
378	3537	5796
379	3541	5778
380	3544	5759
381	3548	5740
382	3553	5723
383	3557	5706
384	3560	5687
385	3564	5669
386	3567	5650
387	3571	5633
388	3575	5616
389	3584	5605
390	3588	5588
391	3593	5573
392	3597	5555
393	3600	5537
394	3603	5519
395	3607	5501
396	3610	5484
397	3619	5474
398	3625	5460
399	3628	5442
400	3632	5426
401	3637	5410
402	3653	5412
403	3658	5396
404	3661	5379
405	3665	5363
406	3670	5347
407	3673	5330
408	3677	5313
409	3681	5297
410	3690	5289
411	3694	5273
412	3698	5256
413	3702	5240
414	3714	5235
415	3717	5219
416	3720	5202
417	3724	5185
418	3749	5199
419	3753	5183
420	3756	5166
421	3761	5151
422	3765	5136
423	3769	5120
424	3772	5104
425	3775	5087
426	3780	5073
427	3783	5056
428	3787	5040
429	3793	5028
430	3797	5012
431	3800	4997
432	3854	5046
433	3907	5095
434	3910	5078
435	3914	5063
436	3929	5063
437	3934	5048
438	3987	5096
439	4021	5118
440	4026	5103
441	4029	5087
442	4032	5070
443	4036	5055
444	4040	5039
445	4051	5032
446	4055	5016
447	4058	5001
448	4062	4985
449	4067	4970
450	4070	4955
451	4074	4939
452	4078	4924
453	4088	4916
454	4091	4900
455	4095	4886
456	4221	5016
457	4235	5012
458	4238	4995
459	4247	4985
460	4250	4969
461	4254	4953
462	4257	4938
463	4261	4922
464	4264	4906
465	4388	5029
466	4392	5013
467	4396	4997
468	4399	4980
469	4402	4964
470	4406	4948
471	4409	4932
472	4412	4916
473	4415	4900
474	4423	4889
475	4428	4874
476	4476	4908
477	4479	4892
478	4483	4876
479	4486	4860
480	4489	4844
481	4496	4832
482	4499	4816
483	4503	4801
484	4507	4786
485	4511	4771
486	4514	4755
487	4567	4792
488	4571	4777
489	4575	4762
490	4579	4747
491	4584	4733
492	4587	4718
493	4592	4704
494	4595	4688
495	4598	4672
496	4615	4670
497	4618	4656
498	4623	4642
499	4627	4627
500	4631	4612
501	4634	4597
502	4637	4582
503	4641	4567
504	4644	4552
505	4647	4537
506	4651	4523
507	4655	4509
508	4658	4493
509	4662	4480
510	4688	4486
511	4691	4471
512	4694	4456
513	4697	4441
514	4701	4427
515	4705	4413
516	4709	4399
517	4712	4385
518	4752	4404
519	4755	4389
520	4759	4375
521	4763	4362
522	4767	4348
523	4776	4338
524	4779	4324
525	4788	4315
526	4792	4301
527	4797	4288
528	4800	4274
529	4804	4260
530	4806	4245
531	4809	4231
532	4813	4217
533	4817	4204
534	4821	4190
535	4824	4176
536	4828	4163
537	4832	4149
538	4836	4136
539	4839	4122
540	4844	4110
541	4847	4096
542	4850	4082
543	4853	4068
544	4857	4055
545	4924	4094
546	4976	4121
547	4979	4107
548	4984	4094
549	4987	4080
550	4992	4068
551	4995	4053
552	4998	4040
553	5002	4027
554	5006	4014
555	5012	4002
556	5016	3989
557	5042	3994
558	5046	3981
559	5051	3968
560	5054	3955
561	5065	3947
562	5067	3933
563	5071	3920
564	5075	3907
565	5079	3894
566	5094	3890
567	5097	3877
568	5100	3863
569	5105	3851
570	5107	3837
571	5112	3825
572	5115	3812
573	5125	3803
574	5129	3791
575	5134	3779
576	5148	3774
577	5154	3763
578	5157	3750
579	5161	3737
580	5171	3729
581	5175	3716
