iter	Logloss
0	0.690893252
1	0.689018877
2	0.686970638
3	0.685184365
4	0.6834281223
5	0.6816911889
6	0.680061377
7	0.6783267467
8	0.6765017339
9	0.6748574619
10	0.6729876128
11	0.6712152981
12	0.6696484077
13	0.6677181974
14	0.6661987338
15	0.6644483188
16	0.6626279902
17	0.6612996672
18	0.6599710609
19	0.6585409787
20	0.6571419917
21	0.6558787517
22	0.6547291635
23	0.6534353858
24	0.6523021097
25	0.6509442334
26	0.6494743553
27	0.6476470881
28	0.6464695234
29	0.6450454729
30	0.6436279842
31	0.6424014463
32	0.6412857391
33	0.6402207037
34	0.6387062656
35	0.6374124638
36	0.6365171277
37	0.6351892228
38	0.6341885132
39	0.633131192
40	0.6320416796
41	0.6310590736
42	0.629976154
43	0.6290824241
44	0.6282451808
45	0.6271556278
46	0.6258406507
47	0.6250112551
48	0.6243517457
49	0.6234776223
50	0.6225595136
51	0.6213175731
52	0.6201035371
53	0.6193629142
54	0.6186699313
55	0.6178857076
56	0.6169252539
57	0.6159727819
58	0.61516578
59	0.6144121763
60	0.6135693708
61	0.6127513365
62	0.6119703102
63	0.6111690086
64	0.6102050864
65	0.6092841627
66	0.6085163028
67	0.6076076377
68	0.6070828071
69	0.606558796
70	0.6058095352
71	0.6052229383
72	0.6044908187
73	0.6038183589
74	0.6031683379
75	0.6026764301
76	0.6022246937
77	0.601551248
78	0.6009328736
79	0.6002431242
80	0.5995354828
81	0.5986374814
82	0.5981207553
83	0.5977172068
84	0.5971702089
85	0.5966337477
86	0.5961646812
87	0.5955927036
88	0.5952562719
89	0.5948382283
90	0.5941395765
91	0.5937269965
92	0.5933171809
93	0.5929564036
94	0.5923338963
95	0.5916779925
96	0.5910377145
97	0.5903223442
98	0.5900771698
99	0.5896554871
100	0.5891448779
101	0.588726728
102	0.5884402033
103	0.5879346599
104	0.5876574723
105	0.587368374
106	0.5869364667
107	0.5865169146
108	0.5860549812
109	0.5853841308
110	0.5848918568
111	0.5845118999
112	0.5839933028
113	0.5835898314
114	0.5831964538
115	0.5825595564
116	0.5820726066
117	0.5816052037
118	0.5813599266
119	0.5810753207
120	0.580839883
121	0.5803808541
122	0.5801944671
123	0.5797934897
124	0.5795752652
125	0.5792003857
126	0.5790276188
127	0.5785772054
128	0.5781512725
129	0.5778764163
130	0.5775631401
131	0.5772724646
132	0.5770467664
133	0.5768272274
134	0.5765470309
135	0.5761153549
136	0.5756736121
137	0.5754373318
138	0.5751844953
139	0.5748278193
140	0.5746368621
141	0.5743822968
142	0.5742669853
143	0.5740217175
144	0.5737760595
145	0.5735854618
146	0.5730108011
147	0.5726913588
148	0.5724094943
149	0.5722728618
150	0.5720594445
151	0.5717459922
152	0.5714890262
153	0.5711310188
154	0.5708832602
155	0.5708028202
156	0.5706163633
157	0.5704065519
158	0.5700215995
159	0.5696804055
160	0.5694495716
161	0.5692409124
162	0.5686303283
163	0.5683018966
164	0.567957726
165	0.567620627
166	0.5673775547
167	0.5671720179
168	0.5668443718
169	0.5664646246
170	0.5662038901
171	0.5661013625
172	0.5658739145
173	0.5655544469
174	0.5652864329
175	0.5650313853
176	0.5646302912
177	0.5644527664
178	0.5643311932
179	0.5642120886
180	0.5641492327
181	0.564014409
182	0.563840438
183	0.5635847128
184	0.5632297778
185	0.5630185511
186	0.562889902
187	0.5626349996
188	0.5625762658
189	0.5624314214
190	0.5619574986
191	0.5617367325
192	0.5615768431
193	0.5613139186
194	0.5611680213
195	0.5609862327
196	0.5606933394
197	0.5604473297
198	0.560016139
199	0.5598540342
200	0.5595954672
201	0.5594851901
202	0.559447456
203	0.5592934459
204	0.558995104
205	0.558859086
206	0.5586868223
207	0.5584697939
208	0.5582315136
209	0.5581682956
210	0.5579634598
211	0.5578030541
212	0.5576700068
213	0.557377839
214	0.5572759894
215	0.5572248853
216	0.5571030123
217	0.5568140529
218	0.5565513679
219	0.5563862371
220	0.556227215
221	0.5560054728
222	0.555839334
223	0.5555076797
224	0.5553898638
225	0.5552665124
226	0.5550276487
227	0.554912939
228	0.5546873829
229	0.5546695311
230	0.5543541684
231	0.5542389509
232	0.5540466077
233	0.5537262243
234	0.5535563002
235	0.5534716278
236	0.552973093
237	0.5528169545
238	0.5527100807
239	0.5525774163
240	0.5524267522
241	0.5522827812
242	0.5521261142
243	0.5519282487
244	0.5516836172
245	0.5514822303
246	0.551428328
247	0.5512493403
248	0.5510058324
249	0.550777789
250	0.5504860693
251	0.5503968871
252	0.5503240792
253	0.5501958965
254	0.5500799189
255	0.5498770415
256	0.5498669235
257	0.5496148043
258	0.5492877724
259	0.5492511514
260	0.5489563292
261	0.5488911841
262	0.5486182598
263	0.5486001205
264	0.548430542
265	0.548293443
266	0.5481253907
267	0.5480151422
268	0.54783951
269	0.5472396848
270	0.5470445185
271	0.5469573589
272	0.5468866846
273	0.5467867402
274	0.5460799177
275	0.5460083021
276	0.5459567192
277	0.5459503359
278	0.5456905428
279	0.5453702697
280	0.5450723286
281	0.5449856457
282	0.5447931664
283	0.5445786274
284	0.5443935826
285	0.5442607568
286	0.5440081505
287	0.5439927223
288	0.5437936463
289	0.5436399893
290	0.5433367563
291	0.5432811249
292	0.5431461215
293	0.5429472754
294	0.5427549024
295	0.5426446657
296	0.5424928809
297	0.5422808526
298	0.5422031159
299	0.5420169287
300	0.5418481458
301	0.5416302133
302	0.5415614116
303	0.5414285666
304	0.5411816146
305	0.5409320761
306	0.5404771342
307	0.5403198894
308	0.5401894847
309	0.5400369338
310	0.539817789
311	0.539759301
312	0.5396479846
313	0.5393960504
314	0.5391746418
315	0.5389565166
316	0.5388522448
317	0.5387491234
318	0.5383916325
319	0.538246874
320	0.5380889681
321	0.5379144262
322	0.5378599621
323	0.5376697326
324	0.5375639901
325	0.5374620119
326	0.5374075913
327	0.5372956243
328	0.5371702591
329	0.5370813688
330	0.5367694587
331	0.5366483062
332	0.5364212824
333	0.5362150839
334	0.5360058114
335	0.5359148795
336	0.5358135729
337	0.5357458839
338	0.5355334248
339	0.5354344141
340	0.53536486
341	0.5352413813
342	0.5350377586
343	0.5349283917
344	0.5348001748
345	0.5346116209
346	0.5344548557
347	0.534326234
348	0.5343115822
349	0.5342474735
350	0.5342421462
351	0.5342182172
352	0.5341091259
353	0.5340916836
354	0.5339625589
355	0.5339436719
356	0.5338668143
357	0.5337263345
358	0.5335536354
359	0.5333485605
360	0.5332249863
361	0.5331839013
362	0.5330714156
363	0.5329386001
364	0.5329376201
365	0.5327676869
366	0.5325664372
367	0.5324286437
368	0.5323990342
369	0.5323401682
370	0.5322513278
371	0.5318918447
372	0.5317858787
373	0.5317489329
374	0.5315684158
375	0.531463062
376	0.5310135216
377	0.5308159548
378	0.5305899215
379	0.5305211344
380	0.5305135942
381	0.5303860952
382	0.530288156
383	0.5301942805
384	0.5299683921
385	0.5298161328
386	0.5295318906
387	0.52936868
388	0.529232949
389	0.5290233741
390	0.528998999
391	0.5289531682
392	0.5287517255
393	0.5287406112
394	0.5285216857
395	0.5283853162
396	0.5282646749
397	0.5281342427
398	0.527987721
399	0.5279625542
400	0.5277644948
401	0.5275983259
402	0.5275174575
403	0.5273132112
404	0.5272262212
405	0.5272026151
406	0.5270859394
407	0.5269190399
408	0.5267574201
409	0.5263901862
410	0.5261081501
411	0.5260473278
412	0.5259114262
413	0.5258225688
414	0.5257527015
415	0.5257502729
416	0.5257261027
417	0.5254473163
418	0.5252588503
419	0.5250535617
420	0.5247737624
421	0.5246911941
422	0.5246244548
423	0.5244327503
424	0.5241734374
425	0.5240690347
426	0.5240042471
427	0.5238163768
428	0.523688988
429	0.5235483421
430	0.5235307662
431	0.523464596
432	0.5234556916
433	0.523311655
434	0.5232515835
435	0.5231530762
436	0.5230228298
437	0.5229641059
438	0.5228237331
439	0.5228166884
440	0.5226822779
441	0.5224736806
442	0.5224158965
443	0.5222804654
444	0.5222340838
445	0.5221092417
446	0.5219439593
447	0.5217807919
448	0.5214744116
449	0.5213251836
450	0.5212632472
451	0.5211984106
452	0.521123193
453	0.5208630954
454	0.5206850828
455	0.5206154579
456	0.5204840565
457	0.5203436852
458	0.5202621399
459	0.5202049245
460	0.5200618689
461	0.5200364872
462	0.5199872419
463	0.5199609531
464	0.5198479856
465	0.519783854
466	0.5197266626
467	0.5196385125
468	0.5193397691
469	0.5191514297
470	0.5189250888
471	0.5188823175
472	0.5186498406
473	0.518473873
474	0.518400996
475	0.5182697005
476	0.5180131554
477	0.5179791277
478	0.5178626458
479	0.5176291773
480	0.5175889477
481	0.5174720332
482	0.5173542146
483	0.5173355603
484	0.5172646649
485	0.5172159667
486	0.516839752
487	0.516641907
488	0.5164909199
489	0.5164107169
490	0.5163498967
491	0.5162308559
492	0.5161422194
493	0.516003146
494	0.5158959342
495	0.5158392322
496	0.515726013
497	0.5156936032
498	0.5156859044
499	0.5156220687
500	0.5155024276
501	0.5152617831
502	0.5150083265
503	0.5149855129
504	0.5148841315
505	0.5147426198
506	0.5147297604
507	0.5146405952
508	0.5145628957
509	0.5144439923
510	0.5143601864
511	0.5143393662
512	0.5142601231
513	0.5141506165
514	0.5140607336
