iter	Passed	Remaining
0	54	54634
1	63	31818
2	67	22266
3	70	17442
4	78	15686
5	82	13630
6	85	12167
7	128	15928
8	131	14456
9	185	18377
10	188	16980
11	193	15957
12	261	19852
13	265	18700
14	316	20797
15	319	19672
16	322	18657
17	331	18075
18	334	17267
19	337	16548
20	386	18038
21	439	19524
22	442	18801
23	453	18429
24	458	17890
25	462	17326
26	466	16824
27	481	16701
28	484	16213
29	487	15769
30	538	16832
31	543	16442
32	557	16329
33	609	17304
34	744	20520
35	748	20043
36	752	19580
37	777	19675
38	779	19215
39	783	18792
40	785	18384
41	835	19052
42	843	18779
43	846	18396
44	872	18524
45	891	18482
46	921	18678
47	975	19356
48	979	19015
49	1056	20073
50	1091	20310
51	1095	19978
52	1102	19707
53	1174	20571
54	1226	21066
55	1232	20783
56	1236	20456
57	1240	20145
58	1243	19838
59	1250	19583
60	1255	19325
61	1259	19059
62	1265	18829
63	1270	18585
64	1277	18377
65	1415	20028
66	1469	20467
67	1525	20905
68	1571	21200
69	1596	21206
70	1603	20987
71	1619	20870
72	1626	20657
73	1645	20585
74	1709	21079
75	1714	20843
76	1767	21192
77	1778	21017
78	1782	20777
79	1786	20545
80	1794	20359
81	1801	20170
82	1891	20899
83	1895	20667
84	1920	20669
85	1923	20438
86	1973	20713
87	2026	21005
88	2030	20779
89	2033	20560
90	2082	20802
91	2142	21142
92	2158	21051
93	2207	21274
94	2256	21494
95	2281	21483
96	2334	21731
97	2367	21794
98	2421	22038
99	2427	21845
100	2431	21641
101	2482	21854
102	2486	21651
103	2490	21452
104	2542	21671
105	2546	21475
106	2595	21660
107	2601	21483
108	2605	21295
109	2609	21114
110	2613	20935
111	2616	20747
112	2631	20656
113	2639	20517
114	2643	20343
115	2647	20179
116	2704	20408
117	2718	20323
118	2722	20155
119	2737	20072
120	2741	19914
121	2756	19835
122	2811	20043
123	2838	20050
124	2841	19887
125	2908	20172
126	2957	20331
127	3004	20464
128	3007	20303
129	3060	20483
130	3068	20357
131	3124	20545
132	3174	20692
133	3177	20534
134	3238	20749
135	3249	20643
136	3252	20486
137	3311	20682
138	3313	20525
139	3338	20505
140	3340	20352
141	3343	20205
142	3393	20336
143	3406	20250
144	3414	20134
145	3422	20019
146	3470	20137
147	3473	19996
148	3476	19856
149	3479	19718
150	3530	19851
151	3533	19714
152	3536	19576
153	3540	19447
154	3588	19561
155	3640	19696
156	3645	19571
157	3659	19499
158	3713	19641
159	3815	20029
160	3820	19911
161	3829	19808
162	3834	19691
163	3899	19878
164	3903	19756
165	3980	20000
166	3986	19886
167	4084	20225
168	4154	20426
169	4245	20725
170	4294	20817
171	4297	20690
172	4347	20780
173	4396	20869
174	4464	21047
175	4468	20920
176	4482	20841
177	4490	20736
178	4550	20871
179	4554	20746
180	4567	20667
181	4623	20781
182	4628	20661
183	4631	20539
184	4648	20480
185	4655	20373
186	4672	20315
187	4740	20476
188	4790	20555
189	4799	20459
190	4828	20449
191	4875	20517
192	4889	20445
193	5013	20828
194	5059	20885
195	5063	20768
196	5114	20847
197	5163	20914
198	5166	20794
199	5169	20679
200	5192	20641
201	5207	20570
202	5255	20634
203	5258	20519
204	5418	21014
205	5424	20907
206	5469	20951
207	5502	20950
208	5528	20922
209	5656	21280
210	5673	21213
211	5738	21328
212	5789	21389
213	5792	21273
214	5796	21163
215	5812	21095
216	5827	21026
217	5830	20915
218	5833	20804
219	5842	20714
220	5849	20619
221	5897	20669
222	5946	20720
223	5960	20648
224	5963	20540
225	5967	20437
226	6023	20512
227	6026	20407
228	6074	20450
229	6160	20624
230	6163	20518
231	6168	20420
232	6201	20413
233	6263	20504
234	6322	20581
235	6325	20477
236	6378	20533
237	6429	20583
238	6437	20498
239	6500	20584
240	6515	20518
241	6525	20440
242	6615	20607
243	6618	20505
244	6621	20405
245	6629	20321
246	6633	20224
247	6682	20263
248	6739	20327
249	6796	20388
250	6850	20441
251	6858	20358
252	6866	20273
253	6914	20308
254	6984	20404
255	6989	20313
256	6994	20222
257	7013	20170
258	7026	20103
259	7151	20354
260	7183	20338
261	7218	20332
262	7264	20358
263	7319	20404
264	7321	20307
265	7326	20215
266	7329	20122
267	7333	20029
268	7380	20055
269	7383	19961
270	7386	19869
271	7390	19779
272	7448	19835
273	7498	19868
274	7502	19780
275	7507	19692
276	7510	19602
277	7515	19517
278	7519	19432
279	7630	19620
280	7633	19531
281	7658	19498
282	7666	19423
283	7715	19452
284	7768	19490
285	7893	19706
286	7899	19624
287	7950	19655
288	7953	19567
289	8007	19605
290	8011	19518
291	8016	19438
292	8066	19464
293	8072	19385
294	8121	19408
295	8173	19439
296	8177	19355
297	8182	19276
298	8185	19191
299	8189	19108
300	8214	19075
301	8217	18992
